"SNAP_DATE_TIME","Logons","Transactions"
"2021-12-20 13:50:04",3.51,0.02
"2021-12-20 13:51:04",3.09,0
"2021-12-20 13:52:04",3.34,0
"2021-12-20 13:53:04",3.29,0
"2021-12-20 13:54:04",3.2,0
"2021-12-20 13:55:04",3.4,0
"2021-12-20 13:56:04",3.13,0
"2021-12-20 13:57:04",3.36,0
"2021-12-20 13:58:04",3.35,0.05
"2021-12-20 13:59:04",3.25,0
"2021-12-20 14:00:04",3.44,0
"2021-12-20 14:01:04",3.07,0.18
"2021-12-20 14:02:04",3.44,0
"2021-12-20 14:03:04",3.2,0
"2021-12-20 14:04:04",3.26,0
"2021-12-20 14:05:04",3.5,0
"2021-12-20 14:06:04",3.01,0
"2021-12-20 14:07:04",3.54,0.03
"2021-12-20 14:08:04",3.25,0.05
"2021-12-20 14:09:04",3.14,0
"2021-12-20 14:10:05",3.58,0
"2021-12-20 14:11:04",2.95,0
"2021-12-20 14:12:04",3.52,0
"2021-12-20 14:13:04",3.17,0
"2021-12-20 14:14:04",3.23,0.02
"2021-12-20 14:15:05",3.54,0
"2021-12-20 14:16:04",2.96,0
"2021-12-20 14:17:04",3.56,0
"2021-12-20 14:18:04",3.22,0.05
"2021-12-20 14:19:04",3.29,0
"2021-12-20 14:20:05",3.56,0
"2021-12-20 14:21:04",2.92,0
"2021-12-20 14:22:04",3.57,0
"2021-12-20 14:23:05",3.15,0
"2021-12-20 14:24:04",3.22,0
"2021-12-20 14:25:05",3.52,0
"2021-12-20 14:26:04",2.98,0
"2021-12-20 14:27:04",3.57,0
"2021-12-20 14:28:05",3.13,0.05
"2021-12-20 14:29:04",3.21,0
"2021-12-20 14:30:04",3.61,0
"2021-12-20 14:31:04",2.89,0
"2021-12-20 14:32:04",3.62,0
"2021-12-20 14:33:04",3.1,0
"2021-12-20 14:34:05",3.42,0.05
"2021-12-20 14:35:04",3.41,0
"2021-12-20 14:36:05",2.92,0
"2021-12-20 14:37:04",3.61,0
"2021-12-20 14:38:05",3.24,0.05
"2021-12-20 14:39:04",3.34,0
"2021-12-20 14:40:04",3.45,0
"2021-12-20 14:41:05",3.07,0
"2021-12-20 14:42:04",3.44,0
"2021-12-20 14:43:05",3.09,0
"2021-12-20 14:44:04",3.39,0
"2021-12-20 14:45:04",3.45,0
"2021-12-20 14:46:05",3.16,0
"2021-12-20 14:47:04",3.46,0
"2021-12-20 14:48:04",3.16,0.05
"2021-12-20 14:49:05",3.48,0
"2021-12-20 14:50:04",3.44,0.02
