"SNAP_DATE_TIME","Logons","Transactions"
"2021-12-19 14:59:51",3.28,0.03
"2021-12-19 15:59:52",3.28,0.04
"2021-12-19 16:59:53",3.29,0.02
"2021-12-19 18:00:53",3.29,0.03
"2021-12-19 18:59:54",3.28,0.05
"2021-12-19 19:59:54",3.29,0.05
"2021-12-19 20:59:55",3.28,0.07
"2021-12-19 21:59:55",3.28,0.05
"2021-12-19 22:59:56",3.29,0.06
"2021-12-20 00:00:57",3.29,0.03
"2021-12-20 00:59:57",3.29,0.01
"2021-12-20 01:59:58",3.29,0.01
"2021-12-20 02:59:58",3.29,0.01
"2021-12-20 03:59:59",3.29,0.01
"2021-12-20 04:59:59",3.29,0.01
"2021-12-20 05:59:59",3.29,0.01
"2021-12-20 07:00:00",3.29,0.14
"2021-12-20 08:00:01",3.29,0.01
"2021-12-20 09:00:01",3.3,0.02
"2021-12-20 10:00:02",3.3,0.01
"2021-12-20 11:00:03",3.3,0.01
"2021-12-20 12:00:03",3.29,0.01
"2021-12-20 13:00:03",3.29,0.01
"2021-12-20 14:00:04",3.29,0.01
