"SNAP_DATE_TIME","Logons","Transactions"
"2021-11-20 15:00:30",3.29,0.21
"2021-11-20 16:00:31",3.27,0.19
"2021-11-20 16:59:32",3.27,0.25
"2021-11-20 17:59:33",3.28,0.21
"2021-11-20 19:00:33",3.27,0.23
"2021-11-20 20:00:33",3.27,0.17
"2021-11-20 20:59:34",3.29,0.19
"2021-11-20 21:59:35",3.27,0.23
"2021-11-20 22:59:35",3.28,0.21
"2021-11-21 00:00:36",3.26,0.22
"2021-11-21 01:00:36",3.28,0.05
"2021-11-21 01:59:36",3.28,0.01
"2021-11-21 02:59:37",3.29,0.02
"2021-11-21 03:59:38",3.28,0.01
"2021-11-21 05:00:39",3.28,0.01
"2021-11-21 06:00:39",3.29,0.2
"2021-11-21 06:59:40",3.28,0.12
"2021-11-21 07:59:40",3.28,0.02
"2021-11-21 08:59:40",3.28,0.03
"2021-11-21 10:00:41",3.28,0.03
"2021-11-21 11:00:42",3.29,0.1
"2021-11-21 11:59:42",3.29,0.04
"2021-11-21 12:59:43",3.29,0.02
"2021-11-21 13:59:43",3.29,0.04
"2021-11-21 15:00:44",3.27,0.06
"2021-11-21 15:59:44",3.28,0.06
"2021-11-21 16:59:44",3.29,0.06
"2021-11-21 17:59:46",3.28,0.05
"2021-11-21 19:00:46",3.27,0.08
"2021-11-21 19:59:46",3.27,0.06
"2021-11-21 20:59:47",3.27,0.08
"2021-11-21 21:59:48",3.28,0.06
"2021-11-21 23:00:48",3.29,0.12
"2021-11-21 23:59:49",3.27,0.1
"2021-11-22 00:59:49",3.27,0.03
"2021-11-22 01:59:49",3.27,0.02
"2021-11-22 02:59:50",3.28,0.01
"2021-11-22 03:59:51",3.27,0.01
"2021-11-22 04:59:52",3.27,0.01
"2021-11-22 05:59:52",3.27,0.01
"2021-11-22 06:59:53",3.28,0.13
"2021-11-22 08:00:53",3.28,0.02
"2021-11-22 08:59:54",3.29,0.07
"2021-11-22 09:59:54",3.29,0.08
"2021-11-22 10:59:55",3.3,0.08
"2021-11-22 11:59:55",3.28,0.14
"2021-11-22 12:59:56",3.27,0.08
"2021-11-22 13:59:56",3.28,0.08
"2021-11-22 14:59:57",3.27,0.11
"2021-11-22 16:00:57",3.29,0.15
"2021-11-22 16:59:58",3.29,0.12
"2021-11-22 17:59:58",3.27,0.06
"2021-11-22 18:59:59",3.26,0.13
"2021-11-22 20:00:00",3.27,0.17
"2021-11-22 21:00:01",3.26,0.19
"2021-11-22 22:00:01",3.26,0.2
"2021-11-22 23:00:01",3.26,0.41
"2021-11-23 00:00:02",3.27,0.16
"2021-11-23 01:00:03",3.26,0.09
"2021-11-23 02:00:03",3.27,0.05
"2021-11-23 03:00:03",3.27,0.05
"2021-11-23 04:00:04",3.27,0.02
"2021-11-23 05:00:05",3.27,0.02
"2021-11-23 06:00:05",3.28,0.04
"2021-11-23 07:00:05",3.28,0.12
"2021-11-23 07:59:06",3.28,0.04
"2021-11-23 09:00:07",3.3,0.06
"2021-11-23 10:00:07",3.28,0.17
"2021-11-23 11:00:08",3.28,0.13
"2021-11-23 11:59:08",3.26,0.18
"2021-11-23 13:00:09",3.26,0.1
"2021-11-23 14:00:09",3.24,0.09
"2021-11-23 15:00:10",3.26,0.17
"2021-11-23 16:00:11",3.26,0.17
"2021-11-23 17:00:11",3.29,0.18
"2021-11-23 18:00:12",3.29,0.13
"2021-11-23 19:00:12",3.29,0.19
"2021-11-23 20:00:12",3.28,0.26
"2021-11-23 21:00:13",3.29,0.23
"2021-11-23 22:00:14",3.28,0.3
"2021-11-23 23:00:14",3.28,0.32
"2021-11-24 00:00:14",3.28,0.16
"2021-11-24 01:00:16",3.28,0.05
"2021-11-24 01:59:16",3.28,0.03
"2021-11-24 02:59:17",3.29,0.01
"2021-11-24 04:00:17",3.28,0.01
"2021-11-24 05:00:18",3.29,0.02
"2021-11-24 06:00:18",3.29,0.04
"2021-11-24 07:00:18",3.29,0.11
"2021-11-24 07:59:19",3.29,0.03
"2021-11-24 08:59:20",3.3,0.06
"2021-11-24 10:00:20",3.32,0.06
"2021-11-24 11:00:21",5.33,0.08
"2021-11-24 12:00:21",3.3,0.11
"2021-11-24 12:59:22",3.3,0.03
"2021-11-24 13:59:23",3.3,0.09
"2021-11-24 15:00:23",3.31,0.07
"2021-11-24 16:00:24",3.3,0.07
"2021-11-24 17:00:25",4.33,0.09
"2021-11-24 18:00:24",3.31,0.06
"2021-11-24 18:59:26",3.29,0.05
"2021-11-24 19:59:26",3.29,0.04
"2021-11-24 21:00:27",3.29,0.05
"2021-11-24 22:00:26",3.3,0.21
"2021-11-24 23:00:27",3.29,0.09
"2021-11-24 23:59:28",3.3,0.01
"2021-11-25 00:59:28",3.29,0.03
"2021-11-25 01:59:29",3.29,0.02
"2021-11-25 03:00:30",3.29,0.01
"2021-11-25 04:00:30",3.29,0.01
"2021-11-25 05:00:31",3.29,0.01
"2021-11-25 05:59:31",3.29,0.01
"2021-11-25 06:59:32",3.29,0.13
"2021-11-25 07:59:32",3.29,0.01
