"SAMPLE_TIME","Buffer Cache Reads","Direct Reads","Direct Writes","DBWR","LGWR","ARCH","RMAN","Recovery","Data Pump","Streams AQ","XDB","Others","Archive Manager","Smart Scan"
"2021-12-23 12:58:42",0,0,0,0,0.017,0,0,0,0,0,0,0.101,0,0
"2021-12-23 12:59:43",0,0,0,0,0,0,0,0,0,0,0,0.082,0,0
"2021-12-23 13:00:43",0,0,0,0,0.017,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:01:43",0.017,0,0.017,0.017,0.033,0,0,0,0,0,0,0.198,0,0
"2021-12-23 13:02:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:03:43",0.017,0,0,0,0,0,0,0,0,0,0,0.151,0,0
"2021-12-23 13:04:43",0,0,0,0,0.017,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:05:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:06:43",3.675,0,0,0.099,8.092,0,0,0,0,0,0,22.989,0,0
"2021-12-23 13:07:43",0,0,0,0,0.017,0,0,0,0,0,0,0.134,0,0
"2021-12-23 13:08:43",0,0,0,0,0,0,0,0,0,0,0,0.134,0,0
"2021-12-23 13:09:43",0,0,0,0,0,0,0,0,0,0,0,0.099,0,0
"2021-12-23 13:10:43",0.017,0,0,0.017,0.017,0,0,0,0,0,0,0.118,0,0
"2021-12-23 13:11:43",0,0,0,6.204,0.033,0,0,0,0,0,0,0.115,0,0
"2021-12-23 13:12:43",0,0,0,0.303,0,0,0,0,0,0,0,0.101,0,0
"2021-12-23 13:13:44",0,0,0,0,0.017,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:14:43",0,0,0,0,0,0,0,0,0,0,0,0.151,0,0
"2021-12-23 13:15:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:16:43",0,0,0,0.017,0.017,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:17:43",0,0,0,0,0,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:18:43",0.084,0,0,0,0.017,0,0,0,0,0,0,0.252,0,0
"2021-12-23 13:19:43",0,0,0,0.016,0,0,0,0,0,0,0,0.082,0,0
"2021-12-23 13:20:43",0,0,0,0,0,0,0,0,0,0,0,0.101,0,0
"2021-12-23 13:21:43",0,0,0,0,0.017,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:22:43",0,0,0,0,0,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:23:43",0.017,0,0,0,0.017,0,0,0,0,0,0,0.101,0,0
"2021-12-23 13:24:43",0,0,0,0,0,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:25:43",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"2021-12-23 13:26:43",0,0,0,0,0.017,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:27:43",0,0,0,0,0,0,0,0,0,0,0,0.082,0,0
"2021-12-23 13:28:43",0,0,0,0.017,0,0,0,0,0,0,0,0.101,0,0
"2021-12-23 13:29:44",0,0,0,0,0.017,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:30:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:31:43",0.017,0,0,0,0.017,0,0,0,0,0,0,0.1,0,0
"2021-12-23 13:32:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:33:43",0,0,0,0.017,0,0,0,0,0,0,0,0.149,0,0
"2021-12-23 13:34:43",0,0,0,0,0.017,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:35:44",0,0,0,0,0,0,0,0,0,0,0,0.082,0,0
"2021-12-23 13:36:43",0,0,0,0,0.017,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:37:43",0,0,0,0.017,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:38:44",0,0,0,0,0,0,0,0,0,0,0,0.099,0,0
"2021-12-23 13:39:43",0,0,0,0,0.017,0,0,0,0,0,0,0.101,0,0
"2021-12-23 13:40:43",0.017,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"2021-12-23 13:41:44",0,0,0,0,0.016,0,0,0,0,0,0,0.099,0,0
"2021-12-23 13:42:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:43:43",0,0,0,0,0,0,0,0,0,0,0,0.101,0,0
"2021-12-23 13:44:43",0,0,0,0,0.017,0,0,0,0,0,0,0.116,0,0
"2021-12-23 13:45:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:46:44",0,0,0,0.033,0.017,0,0,0,0,0,0,0.083,0,0
"2021-12-23 13:47:43",0,0,0,0,0,0,0,0,0,0,0,0.084,0,0
"2021-12-23 13:48:44",0.016,0,0,0,0,0,0,0,0,0,0,0.247,0,0
"2021-12-23 13:49:43",0,0,0,0,0.017,0,0,0,0,0,0,0.084,0,0
