"SAMPLE_TIME","Buffer Cache Reads","Direct Reads","Direct Writes","DBWR","LGWR","ARCH","RMAN","Recovery","Data Pump","Streams AQ","XDB","Others","Archive Manager","Smart Scan"
"2021-12-23 12:59:43",0.445,0,0,0.115,6.86,0,0,0,0,0,0,5.673,0,0
"2021-12-23 13:00:43",0.302,0,0,0.034,6.497,0,0,0,0,0,0,6.01,0,0
"2021-12-23 13:01:43",2.531,0,0.017,0.099,7.079,0,0,0,0,0,0,8.865,0,0
"2021-12-23 13:02:43",0.234,0,0,0.084,6.361,0,0,0,0,0,0,6.009,0,0
"2021-12-23 13:03:43",0.285,0,0,0.117,6.54,0,0,0,0,0,0,7.983,0,0
"2021-12-23 13:04:43",0.314,0,0,0.083,6.909,0,0,0,0,0,0,5.752,0,0
"2021-12-23 13:05:43",0.353,0,0,0.134,6.246,0,0,0,0,0,0,5.709,0,0
"2021-12-23 13:06:43",470.88,0,0,7.251,20.007,0,0,0,0,0,0,37.887,0,0
"2021-12-23 13:07:43",0.268,0,0,0.067,6.299,0,0,0,0,0,0,7.304,0,0
"2021-12-23 13:08:43",0.268,0,0,0.151,6.274,0,0,0,0,0,0,8.22,0,0
"2021-12-23 13:09:43",0.182,0,0,0.083,6.815,0,0,0,0,0,0,7.178,0,0
"2021-12-23 13:10:43",0.269,0,0,0.05,6.215,0,0,0,0,0,0,8.164,0,0
"2021-12-23 13:11:43",0.297,0,0,64.197,7.227,0,0,0,0,0,0,8.233,0,0
"2021-12-23 13:12:43",0.269,0,0,4.235,6.336,0,0,0,0,0,0,6.857,0,0
"2021-12-23 13:13:44",0.198,0,0,0.116,6.585,0,0,0,0,0,0,5.744,0,0
"2021-12-23 13:14:43",0.251,0,0,0.067,6.748,0,0,0,0,0,0,7.652,0,0
"2021-12-23 13:15:43",0.268,0,0,0.167,6.444,0,0,0,0,0,0,5.925,0,0
"2021-12-23 13:16:43",0.318,0,0,0.084,6.638,0,0,0,0,0,0,6.202,0,0
"2021-12-23 13:17:43",0.182,0,0,0.099,6.26,0,0,0,0,0,0,5.633,0,0
"2021-12-23 13:18:43",8.941,0,0.034,0.067,6.71,0,0,0,0,0,0,14.394,0,0
"2021-12-23 13:19:43",0.264,0,0,0.132,6.682,0,0,0,0,0,0,5.742,0,0
"2021-12-23 13:20:43",0.202,0,0,0.101,6.555,0,0,0,0,0,0,6.403,0,0
"2021-12-23 13:21:43",0.284,0,0,0.017,6.659,0,0,0,0,0,0,6.257,0,0
"2021-12-23 13:22:43",0.265,0,0,0.132,6.365,0,0,0,0,0,0,5.72,0,0
"2021-12-23 13:23:43",0.168,0,0,0.05,6.43,0,0,0,0,0,0,5.809,0,0
"2021-12-23 13:24:43",0.281,0,0,0.264,6.947,0,0,0,0,0,0,5.957,0,0
"2021-12-23 13:25:43",0.284,0,0,0.184,6.572,0,0,0,0,0,0,6.706,0,0
"2021-12-23 13:26:43",0.286,0,0,0.235,6.752,0,0,0,0,0,0,6.214,0,0
"2021-12-23 13:27:43",0.181,0,0,0.016,6.408,0,0,0,0,0,0,5.963,0,0
"2021-12-23 13:28:43",0.318,0,0,0.151,6.386,0,0,0,0,0,0,6.604,0,0
"2021-12-23 13:29:44",0.265,0,0,0.05,6.663,0,0,0,0,0,0,5.721,0,0
"2021-12-23 13:30:43",0.268,0,0,0.084,6.514,0,0,0,0,0,0,5.961,0,0
"2021-12-23 13:31:43",0.218,0,0,0.151,6.776,0,0,0,0,0,0,6.174,0,0
"2021-12-23 13:32:43",0.302,0,0,0,6.353,0,0,0,0,0,0,5.716,0,0
"2021-12-23 13:33:43",0.264,0,0,0.132,6.569,0,0,0,0,0,0,7.972,0,0
"2021-12-23 13:34:43",0.252,0,0,0.067,6.463,0,0,0,0,0,0,5.741,0,0
"2021-12-23 13:35:44",0.181,0,0,0.132,6.167,0,0,0,0,0,0,5.655,0,0
"2021-12-23 13:36:43",0.318,0,0,0.318,6.916,0,0,0,0,0,0,6.33,0,0
"2021-12-23 13:37:43",0.268,0,0,0.05,6.377,0,0,0,0,0,0,5.707,0,0
"2021-12-23 13:38:44",0.182,0,0,0.083,6.455,0,0,0,0,0,0,7.05,0,0
"2021-12-23 13:39:43",0.285,0,0,0.084,6.871,0,0,0,0,0,0,6.083,0,0
"2021-12-23 13:40:43",0.268,0,0,0.117,6.378,0,0,0,0,0,0,6.813,0,0
"2021-12-23 13:41:44",0.313,0,0,0.231,6.858,0,0,0,0,0,0,6.1,0,0
"2021-12-23 13:42:43",0.202,0,0,0.05,6.387,0,0,0,0,0,0,5.916,0,0
"2021-12-23 13:43:43",0.285,0,0,0.084,6.471,0,0,0,0,0,0,6.438,0,0
"2021-12-23 13:44:43",0.314,0,0,0.083,6.542,0,0,0,0,0,0,6.939,0,0
"2021-12-23 13:45:43",0.184,0,0,0.101,6.289,0,0,0,0,0,0,6.02,0,0
"2021-12-23 13:46:44",0.281,0,0,0.413,6.649,0,0,0,0,0,0,5.971,0,0
"2021-12-23 13:47:43",0.269,0,0,0.101,6.037,0,0,0,0,0,0,5.717,0,0
"2021-12-23 13:48:44",0.429,0,0.033,0.033,6.365,0,0,0,0,0,0,13.918,0,0
"2021-12-23 13:49:43",0.201,0,0,0.134,6.817,0,0,0,0,0,0,5.709,0,0
"2021-12-23 13:50:43",0.302,0,0,0.05,6.538,0,0,0,0,0,0,5.733,0,0
"2021-12-23 13:51:44",0.296,0,0,0.099,6.553,0,0,0,0,0,0,6.306,0,0
"2021-12-23 13:52:43",0.285,0,0,0.134,6.056,0,0,0,0,0,0,5.687,0,0
"2021-12-23 13:53:43",0.201,0,0,0,6.389,0,0,0,0,0,0,5.735,0,0
