"SNAP_DATE_TIME","METRIC_NAME","PSN"
"2021-12-20 08:42:02","Logons",3.22
"2021-12-20 08:43:01","Logons",3.3
"2021-12-20 08:44:01","Logons",3.39
"2021-12-20 08:45:02","Logons",3.26
"2021-12-20 08:46:01","Logons",3.28
"2021-12-20 08:47:01","Logons",3.24
"2021-12-20 08:48:02","Logons",3.34
"2021-12-20 08:49:01","Logons",3.52
"2021-12-20 08:50:01","Logons",3.27
"2021-12-20 08:51:01","Logons",3.29
"2021-12-20 08:52:01","Logons",3.22
"2021-12-20 08:53:02","Logons",3.28
"2021-12-20 08:54:01","Logons",3.35
"2021-12-20 08:55:01","Logons",3.24
"2021-12-20 08:56:01","Logons",3.27
"2021-12-20 08:57:01","Logons",3.24
"2021-12-20 08:58:02","Logons",3.42
"2021-12-20 08:59:01","Logons",3.31
"2021-12-20 09:00:01","Logons",3.24
"2021-12-20 09:01:02","Logons",3.3
"2021-12-20 09:02:01","Logons",3.22
"2021-12-20 09:03:01","Logons",3.26
"2021-12-20 09:04:02","Logons",3.35
"2021-12-20 09:05:01","Logons",3.41
"2021-12-20 09:06:02","Logons",3.21
"2021-12-20 09:07:01","Logons",3.25
"2021-12-20 09:08:01","Logons",3.35
"2021-12-20 09:09:02","Logons",3.25
"2021-12-20 09:10:01","Logons",3.34
"2021-12-20 09:11:02","Logons",3.26
"2021-12-20 09:12:01","Logons",3.23
"2021-12-20 09:13:02","Logons",3.3
"2021-12-20 09:14:02","Logons",3.35
"2021-12-20 09:15:01","Logons",3.41
"2021-12-20 09:16:02","Logons",3.24
"2021-12-20 09:17:01","Logons",3.17
"2021-12-20 09:18:02","Logons",3.41
"2021-12-20 09:19:01","Logons",3.32
"2021-12-20 09:20:01","Logons",3.47
"2021-12-20 09:21:02","Logons",3.16
"2021-12-20 09:22:02","Logons",3.33
"2021-12-20 09:23:01","Logons",3.32
"2021-12-20 09:24:02","Logons",3.2
"2021-12-20 09:25:02","Logons",3.48
"2021-12-20 09:26:01","Logons",3.18
"2021-12-20 09:27:02","Logons",3.35
"2021-12-20 09:28:01","Logons",3.39
"2021-12-20 09:29:01","Logons",3.2
"2021-12-20 09:30:02","Logons",3.42
"2021-12-20 09:31:01","Logons",3.19
"2021-12-20 09:32:02","Logons",3.36
"2021-12-20 09:33:02","Logons",3.22
"2021-12-20 09:34:01","Logons",3.31
"2021-12-20 09:35:02","Logons",3.43
"2021-12-20 09:36:01","Logons",3.18
"2021-12-20 09:37:02","Logons",3.4
"2021-12-20 09:38:01","Logons",3.22
"2021-12-20 09:39:02","Logons",3.3
"2021-12-20 09:40:02","Logons",3.4
"2021-12-20 09:41:01","Logons",3.22
"2021-12-20 09:42:02","Logons",3.29
"2021-12-20 08:42:02","Transactions",0
"2021-12-20 08:43:01","Transactions",0
"2021-12-20 08:44:01","Transactions",0
"2021-12-20 08:45:02","Transactions",0
"2021-12-20 08:46:01","Transactions",0
"2021-12-20 08:47:01","Transactions",0
"2021-12-20 08:48:02","Transactions",0.05
"2021-12-20 08:49:01","Transactions",0.05
"2021-12-20 08:50:01","Transactions",0.02
"2021-12-20 08:51:01","Transactions",0
"2021-12-20 08:52:01","Transactions",0
"2021-12-20 08:53:02","Transactions",0
"2021-12-20 08:54:01","Transactions",0
"2021-12-20 08:55:01","Transactions",0
"2021-12-20 08:56:01","Transactions",0
"2021-12-20 08:57:01","Transactions",0
"2021-12-20 08:58:02","Transactions",0.05
"2021-12-20 08:59:01","Transactions",0
"2021-12-20 09:00:01","Transactions",0
"2021-12-20 09:01:02","Transactions",0.18
"2021-12-20 09:02:01","Transactions",0
"2021-12-20 09:03:01","Transactions",0
"2021-12-20 09:04:02","Transactions",0
"2021-12-20 09:05:01","Transactions",0
"2021-12-20 09:06:02","Transactions",0
"2021-12-20 09:07:01","Transactions",0.03
"2021-12-20 09:08:01","Transactions",0.05
"2021-12-20 09:09:02","Transactions",0.02
"2021-12-20 09:10:01","Transactions",0
"2021-12-20 09:11:02","Transactions",0
"2021-12-20 09:12:01","Transactions",0
"2021-12-20 09:13:02","Transactions",0
"2021-12-20 09:14:02","Transactions",0
"2021-12-20 09:15:01","Transactions",0
"2021-12-20 09:16:02","Transactions",0
"2021-12-20 09:17:01","Transactions",0
"2021-12-20 09:18:02","Transactions",0.05
"2021-12-20 09:19:01","Transactions",0
"2021-12-20 09:20:01","Transactions",0
"2021-12-20 09:21:02","Transactions",0
"2021-12-20 09:22:02","Transactions",0
"2021-12-20 09:23:01","Transactions",0
"2021-12-20 09:24:02","Transactions",0
"2021-12-20 09:25:02","Transactions",0
"2021-12-20 09:26:01","Transactions",0
"2021-12-20 09:27:02","Transactions",0
"2021-12-20 09:28:01","Transactions",0.05
"2021-12-20 09:29:01","Transactions",0.02
"2021-12-20 09:30:02","Transactions",0
"2021-12-20 09:31:01","Transactions",0
"2021-12-20 09:32:02","Transactions",0
"2021-12-20 09:33:02","Transactions",0.02
"2021-12-20 09:34:01","Transactions",0
"2021-12-20 09:35:02","Transactions",0
"2021-12-20 09:36:01","Transactions",0
"2021-12-20 09:37:02","Transactions",0
"2021-12-20 09:38:01","Transactions",0.05
"2021-12-20 09:39:02","Transactions",0
"2021-12-20 09:40:02","Transactions",0
"2021-12-20 09:41:01","Transactions",0
"2021-12-20 09:42:02","Transactions",0
