"SAMPLE_TIME","METRIC_NAME","VALUE"
"11:22:21","Instance Foreground CPU",0.38
"11:23:22","Instance Foreground CPU",0.35
"11:24:21","Instance Foreground CPU",0.37
"11:25:21","Instance Foreground CPU",0.36
"11:26:21","Instance Foreground CPU",0.34
"11:27:21","Instance Foreground CPU",0.25
"11:28:21","Instance Foreground CPU",0.31
"11:29:22","Instance Foreground CPU",0.26
"11:30:21","Instance Foreground CPU",0.26
"11:31:21","Instance Foreground CPU",0.35
"11:32:22","Instance Foreground CPU",0.33
"11:33:21","Instance Foreground CPU",0.3
"11:34:21","Instance Foreground CPU",0.31
"11:35:22","Instance Foreground CPU",0.4
"11:36:22","Instance Foreground CPU",0.37
"11:37:21","Instance Foreground CPU",0.31
"11:38:22","Instance Foreground CPU",0.28
"11:39:21","Instance Foreground CPU",0.27
"11:40:22","Instance Foreground CPU",0.27
"11:41:21","Instance Foreground CPU",0.29
"11:42:21","Instance Foreground CPU",0.34
"11:43:21","Instance Foreground CPU",0.3
"11:44:22","Instance Foreground CPU",0.26
"11:45:21","Instance Foreground CPU",0.25
"11:46:21","Instance Foreground CPU",0.28
"11:47:21","Instance Foreground CPU",0.28
"11:48:21","Instance Foreground CPU",0.53
"11:49:21","Instance Foreground CPU",0.44
"11:50:21","Instance Foreground CPU",0.34
"11:51:22","Instance Foreground CPU",0.3
"11:52:22","Instance Foreground CPU",0.26
"11:53:21","Instance Foreground CPU",0.26
"11:54:22","Instance Foreground CPU",0.3
"11:55:22","Instance Foreground CPU",0.26
"11:56:21","Instance Foreground CPU",0.27
"11:57:21","Instance Foreground CPU",0.28
"11:58:22","Instance Foreground CPU",0.31
"11:59:22","Instance Foreground CPU",0.36
"12:00:21","Instance Foreground CPU",0.27
"12:01:21","Instance Foreground CPU",0.29
"12:02:22","Instance Foreground CPU",0.32
"12:03:21","Instance Foreground CPU",0.33
"12:04:21","Instance Foreground CPU",0.42
"12:05:22","Instance Foreground CPU",0.57
"12:06:21","Instance Foreground CPU",0.54
"12:07:22","Instance Foreground CPU",0.32
"12:08:22","Instance Foreground CPU",0.31
"12:09:22","Instance Foreground CPU",0.31
"12:10:21","Instance Foreground CPU",0.26
